21,0,1,27,0,2
21,0,2,27,0,3
21,1,4,27,1,16
21,1,5,27,1,17
21,2,43,27,2,21
21,2,42,27,2,22
21,2,46,27,2,23
21,3,9,27,3,77
21,3,10,27,3,78
21,3,8,27,3,79
21,4,12,27,4,7
21,4,13,27,4,8
21,5,20,27,5,69
21,5,21,27,5,70
21,6,92,27,6,49
21,6,94,27,6,48
21,6,93,27,6,50
21,7,72,27,7,61
21,7,73,27,7,59
21,7,75,27,7,62
21,8,28,27,8,44
21,8,29,27,8,41
21,9,68,27,9,26
21,9,69,27,9,28
21,10,65,27,10,87
21,10,64,27,10,83
21,10,63,27,10,86
21,11,80,27,11,92
21,11,82,27,11,94
21,11,85,27,11,96
21,12,33,27,12,34
21,12,34,27,12,38
21,13,38,27,13,53
21,13,39,27,13,54
21,14,17,27,14,13
21,14,19,27,14,14
21,14,18,27,14,12
21,15,53,27,15,57
21,15,49,27,15,56
21,15,50,27,15,55
