21,19,1,4
21,19,1,9
21,19,1,13
21,19,3,2
21,19,3,11
21,19,3,12
21,19,4,3
21,19,4,7
21,19,4,8
21,19,4,10
27,19,3,1
27,19,3,5
27,19,3,9
27,19,3,15
27,19,3,22
27,19,4,3
27,19,4,6
27,19,4,17
27,19,4,18
27,19,4,21
27,19,5,4
27,19,5,10
27,19,5,12
27,19,5,16
21,20,2,2
21,20,2,7
21,20,2,12
21,20,2,13
21,20,3,4
21,20,4,5
21,20,4,8
21,20,4,10
27,20,3,1
27,20,3,6
27,20,3,10
27,20,3,17
27,20,3,20
27,20,4,2
27,20,4,7
27,20,4,15
27,20,4,22
27,20,5,3
27,20,5,5
27,20,5,8
27,20,5,9
27,20,5,11
27,20,5,13
27,20,5,14
27,20,5,16
27,20,5,19
21,21,1,2
21,21,1,5
21,21,1,10
21,21,2,1
21,21,2,4
21,21,2,7
21,21,3,3
21,21,3,8
27,21,2,1
27,21,2,5
27,21,2,8
27,21,2,12
27,21,2,14
27,21,2,19
27,21,2,22
27,21,3,2
27,21,3,6
27,21,3,13
27,21,3,15
27,21,3,23
27,21,4,3
27,21,4,7
27,21,4,18
27,21,4,20
21,22,1,2
21,22,1,4
21,22,2,3
21,22,2,6
21,22,3,1
21,22,3,5
27,22,2,1
27,22,2,10
27,22,2,14
27,22,2,25
27,22,2,29
27,22,3,2
27,22,3,3
27,22,3,8
27,22,3,11
27,22,3,13
27,22,3,22
27,22,3,24
27,22,3,31
27,22,4,5
27,22,4,7
27,22,4,18
27,22,4,26
27,22,4,30
21,23,1,1
21,23,1,6
21,23,1,11
21,23,2,5
21,23,2,12
21,23,3,3
21,23,3,4
21,23,3,9
27,23,1,1
27,23,1,3
27,23,1,7
27,23,1,10
27,23,2,2
27,23,2,5
27,23,2,13
27,23,2,14
27,23,2,20
27,23,3,4
27,23,3,11
27,23,3,16
27,23,3,18
21,24,1,1
21,24,1,4
21,24,1,5
21,24,1,9
21,24,1,10
21,24,2,11
21,24,2,12
21,24,3,3
21,24,3,7
27,24,1,4
27,24,1,9
27,24,1,13
27,24,1,19
27,24,1,23
27,24,2,2
27,24,2,5
27,24,2,11
27,24,2,12
27,24,2,16
27,24,2,18
27,24,3,1
27,24,3,6
27,24,3,14
27,24,3,20
27,24,3,21
27,24,3,25
