cam_name,track_id,person_id
CAM_007,23,86e0
CAM_007,26,86e0
CAM_007,29,86e3
CAM_007,19,86dd
CAM_007,10,86dd
CAM_007,14,86e3
CAM_007,35,86ed
CAM_007,15,86e3
CAM_007,24,86e0
CAM_007,27,86e0
CAM_007,11,86dd
CAM_007,34,86e8
CAM_007,30,86e3
CAM_007,20,86e3
CAM_007,21,86dd
CAM_007,16,86e3
CAM_007,12,86dd
CAM_007,36,86dd
CAM_007,31,86e3
CAM_007,17,86e3
CAM_007,25,86e0
CAM_007,32,86e3
CAM_007,13,86e3
CAM_007,18,8743
CAM_007,22,86dd
CAM_007,28,86e0
CAM_007,33,8747
CAM_007,37,8723
CAM_005,18,86dd
CAM_005,19,86dd
CAM_005,32,86e8
CAM_005,10,86dd
CAM_005,33,86ed
CAM_005,27,86e3
CAM_005,20,86dd
CAM_005,14,86e3
CAM_005,25,86e0
CAM_005,23,86e0
CAM_005,11,86dd
CAM_005,28,86e3
CAM_005,21,86dd
CAM_005,15,86e3
CAM_005,34,86dd
CAM_005,29,86e3
CAM_005,12,86dd
CAM_005,16,86e3
CAM_005,36,8723
CAM_005,30,86e3
CAM_005,17,86e3
CAM_005,24,86e0
CAM_005,13,86e3
CAM_005,31,86e3
CAM_005,22,86dd
CAM_005,26,86e0
CAM_005,35,86dd
CAM_006,21,86dd
CAM_006,22,86dd
CAM_006,35,86e8
CAM_006,36,86ed
CAM_006,11,86dd
CAM_006,31,86e3
CAM_006,16,86e3
CAM_006,12,86dd
CAM_006,23,86dd
CAM_006,29,86e0
CAM_006,26,86e0
CAM_006,17,86e3
CAM_006,32,86e3
CAM_006,13,86dd
CAM_006,24,86dd
CAM_006,37,86dd
CAM_006,18,86e3
CAM_006,33,86e3
CAM_006,14,86dd
CAM_006,19,86e3
CAM_006,39,8723
CAM_006,27,86e0
CAM_006,15,86e3
CAM_006,25,86dd
CAM_006,20,86e3
CAM_006,28,86e0
CAM_006,30,86e0
CAM_006,34,86e3
CAM_006,38,86dd
CAM_001,10,86dd
CAM_001,22,86e8
CAM_001,23,86ed
CAM_001,18,86e0
CAM_001,16,86e0
CAM_001,20,86e3
CAM_001,11,86dd
CAM_001,24,86dd
CAM_001,12,86dd
CAM_001,26,8723
CAM_001,13,86e3
CAM_001,14,86e3
CAM_001,15,86e3
CAM_001,17,86e0
CAM_001,19,86e0
CAM_001,21,86e3
CAM_001,25,86dd
